Rank	Taxonpath	Taxon	ERR1	ERR10	ERR11	ERR12	ERR13	ERR14	ERR15	ERR16	ERR17	ERR18	ERR19	ERR2	ERR20	ERR21	ERR22	ERR23	ERR24	ERR25	ERR26	ERR27	ERR28	ERR29	ERR3	ERR30	ERR31	ERR32	ERR33	ERR34	ERR35	ERR36	ERR37	ERR38	ERR39	ERR4	ERR40	ERR41	ERR42	ERR43	ERR44	ERR45	ERR46	ERR47	ERR48	ERR49	ERR5	ERR50	ERR52	ERR53	ERR54	ERR55	ERR56	ERR57	ERR58	ERR59	ERR6	ERR62	ERR63	ERR64	ERR65	ERR66	ERR67	ERR68	ERR7	ERR8	ERR9
phylum	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast);Oxyphotobacteria (Chloroplast);Pavlova (Chloroplast)	Pavlova (Chloroplast)	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast);Oxyphotobacteria (Chloroplast);Partenskyella (Chloroplast)	Partenskyella (Chloroplast)	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast);Oxyphotobacteria (Chloroplast);Lotharella (Chloroplast)	Lotharella (Chloroplast)	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast);Oxyphotobacteria (Chloroplast);Pedinomonas (Chloroplast) (Oxyphotobacteria (Chloroplast))	Pedinomonas (Chloroplast) (Oxyphotobacteria (Chloroplast))	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast);Oxyphotobacteria (Chloroplast);Pseudochloris (Chloroplast)	Pseudochloris (Chloroplast)	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast);Oxyphotobacteria (Chloroplast);Chaetoceros (Chloroplast)	Chaetoceros (Chloroplast)	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast);Oxyphotobacteria (Chloroplast);Pycnococcus (Chloroplast) (Oxyphotobacteria (Chloroplast))	Pycnococcus (Chloroplast) (Oxyphotobacteria (Chloroplast))	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None
phylum	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast);Oxyphotobacteria (Chloroplast);Pyramimonas (Chloroplast) (Oxyphotobacteria (Chloroplast))	Pyramimonas (Chloroplast) (Oxyphotobacteria (Chloroplast))	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast);Oxyphotobacteria (Chloroplast);Eutreptiella (Chloroplast)	Eutreptiella (Chloroplast)	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast);Oxyphotobacteria (Chloroplast);Fucus (Chloroplast)	Fucus (Chloroplast)	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast);Oxyphotobacteria (Chloroplast);Prasinoderma (Chloroplast) (Oxyphotobacteria (Chloroplast))	Prasinoderma (Chloroplast) (Oxyphotobacteria (Chloroplast))	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast);Oxyphotobacteria (Chloroplast);Heterosigma (Chloroplast)	Heterosigma (Chloroplast)	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast);Oxyphotobacteria (Chloroplast);Resultomonas (Chloroplast)	Resultomonas (Chloroplast)	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast);Oxyphotobacteria (Chloroplast);Exanthemachrysis (Chloroplast)	Exanthemachrysis (Chloroplast)	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast);Oxyphotobacteria (Chloroplast);Desmarestia (Chloroplast)	Desmarestia (Chloroplast)	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast);Oxyphotobacteria (Chloroplast);Unknown Oxyphotobacteria (Chloroplast) phylum 1	Unknown Oxyphotobacteria (Chloroplast) phylum 1	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Mitochondria;Bacteria (Mitochondrion);Proteobacteria (Mitochondrion);Alphaproteobacteria (Mitochondrion);Rickettsiales (Mitochondrion)	Rickettsiales (Mitochondrion)	None	None	None	None	1.0	1.0	None	None	1.0	None	None	None	None	2.0	None	2.0	None	1.0	None	None	2.5	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	3.25	None	None	None	None	None	None	None	2.0	2.0	2.0	None	None	None	None	None	2.0	None	None	None	None	None
phylum	Mitochondria;Bacteria (Mitochondrion);Proteobacteria (Mitochondrion);Alphaproteobacteria (Mitochondrion);Unknown Alphaproteobacteria (Mitochondrion) phylum 1	Unknown Alphaproteobacteria (Mitochondrion) phylum 1	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Mitochondria;Bacteria (Mitochondrion);Proteobacteria (Mitochondrion);Alphaproteobacteria (Mitochondrion);Unknown Alphaproteobacteria (Mitochondrion) phylum 2	Unknown Alphaproteobacteria (Mitochondrion) phylum 2	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae	Enterobacteriaceae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	5.25	None	None	None	None	None	None	None	9.0	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	Pseudomonadaceae	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	4.0	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	Moraxellaceae	None	None	5.0	None	None	None	None	None	None	None	None	None	5.0	None	None	None	None	None	None	None	None	None	None	None	4.0	None	None	None	None	None	None	2.5	None	None	None	None	None	None	None	2.0	None	4.5	None	None	None	None	1.0	None	None	None	None	None	None	8.0	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae	Burkholderiaceae	4.0	1.0	None	None	None	None	None	None	None	None	3.0	None	None	None	None	None	None	None	None	3.5	3.0	None	None	None	2.0	2.0	None	None	1.0	7.5	None	None	1.0	1.0	None	None	2.0	6.0	None	4.5	1.0	None	None	3.0	None	None	None	1.0	1.0	None	None	None	None	15.1	None	None	None	None	None	None	None	4.0	None	None	1.0
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Neisseriaceae	Neisseriaceae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	3.0	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Chitinibacteraceae	Chitinibacteraceae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Rhodocyclaceae	Rhodocyclaceae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	5.0	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Aquaspirillaceae	Aquaspirillaceae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Methylophilaceae	Methylophilaceae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None	None	None	2.0	None	2.0	None	None	None	None	None	3.0	None	None	None	None	None	None	None	2.0	None	None	1.0	None	None	None	2.0	None	None	None	None	None	None	None	3.0	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Nitrosomonadaceae	Nitrosomonadaceae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	1.0	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;T34	T34	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;TRA3-20	TRA3-20	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae	Aeromonadaceae	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae	Succinivibrionaceae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae	Vibrionaceae	None	3.0	None	None	None	None	None	None	5.0	2.0	None	1.0	None	5.0	None	None	None	1.0	4.5	1.0	1.0	7.0	6.0	None	5.25	2.5	9.125	None	None	None	None	None	3.5	None	None	10.25	None	None	None	None	None	None	None	None	2.0	2.0	None	None	None	6.5	None	None	None	None	None	2.0	None	None	None	None	None	None	None	None	1.0
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae	Pseudoalteromonadaceae	None	None	None	None	None	None	None	None	3.5	None	None	None	None	1.0	None	None	None	None	None	None	2.5	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	4.0	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	4.0	5.0	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Marinobacteraceae	Marinobacteraceae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	2.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae	Shewanellaceae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None	None	3.5	None	None	None	2.5	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	4.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Moritellaceae	Moritellaceae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Psychromonadaceae	Psychromonadaceae	None	1.0	1.0	None	None	None	5.0	None	None	None	None	None	None	None	None	None	None	None	None	None	3.0	None	1.0	None	13.0	None	11.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae	Colwelliaceae	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	2.0	None	None	None	7.0	None	9.0	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae	Alteromonadaceae	None	None	None	1.0	None	None	None	1.0	2.0	None	None	None	None	None	None	2.0	None	None	None	None	2.0	4.0	None	2.0	2.0	None	4.0	None	2.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	4.0	None	None	2.0	None	None	None	None	None	None	None	None	None	None	None	None	6.0	None	None	2.0	None	2.0
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Idiomarinaceae	Idiomarinaceae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	1.0	None	2.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Gallaecimonadaceae	Gallaecimonadaceae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae	Halomonadaceae	None	None	3.0	2.0	1.0	None	3.5	None	2.5	None	2.0	None	None	None	None	None	1.0	None	None	1.0	None	None	None	4.0	None	None	None	None	None	None	5.0	None	None	None	None	None	None	None	None	None	None	6.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae	Nitrincolaceae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	2.0	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	1.0	None	None	1.0	None	None	2.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	1.0	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Marinomonadaceae	Marinomonadaceae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	3.0	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	4.0	None	None	None	None	None	None	None	None	2.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Kangiellaceae	Kangiellaceae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae	Alcanivoracaceae	None	None	None	None	None	None	None	None	2.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	2.0	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Endozoicomonadaceae	Endozoicomonadaceae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Pseudohongiellaceae	Pseudohongiellaceae	None	None	None	2.0	None	None	None	None	None	None	1.0	1.0	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	1.0	None	1.0	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Litoricolaceae	Litoricolaceae	None	None	None	None	None	None	None	1.0	None	None	None	1.0	None	None	None	None	1.0	None	None	None	None	4.0	3.0	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	2.0	2.0	None	None	None	None	None	None	None	2.0	None	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oleiphilaceae	Oleiphilaceae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Saccharospirillaceae	Saccharospirillaceae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	3.0	None	1.0	None	None	None	1.0	None	2.5	None	None	None	None	None	None	None	None	None	None	None	None	None	2.5	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Gven-F17	Gven-F17	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Microbulbiferaceae	Microbulbiferaceae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	3.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Spongiibacteraceae	Spongiibacteraceae	None	None	None	1.0	1.0	None	3.25	None	None	None	1.0	None	None	None	None	None	1.0	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	1.0	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	2.0	None	None	None	None	None	None	None	None	None	1.0
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae	Cellvibrionaceae	None	2.5	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	1.0	None	None	1.0	None	None	None	3.0	None	4.5	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Porticoccaceae	Porticoccaceae	None	None	None	5.5	None	6.0	4.0	5.0	5.0	2.0	None	6.0	6.0	None	None	None	None	6.25	None	None	6.0	5.5	3.0	None	3.0	1.0	None	4.0	4.25	None	None	None	1.0	None	None	None	None	None	None	None	None	None	8.25	1.0	1.0	None	None	None	None	None	None	2.5	None	None	3.5	None	None	5.0	6.0	None	None	None	7.0	5.0	7.5
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae	Halieaceae	None	15.0	18.1666666667	28.6	29.2222222222	12.5	None	17.5	12.0	12.5	None	None	7.0	15.5	None	30.25	19.1666666667	12.4	None	13.0	6.25	8.0	7.0	None	6.16666666667	11.0	12.125	6.5	None	4.0	16.0	6.0	7.5	None	None	12.25	4.0	1.0	None	1.0	None	6.5	8.5	13.3333333333	9.25	None	4.0	None	1.0	2.0	None	10.5	11.25	2.5	10.125	None	8.0	13.0	7.0	9.0	None	None	7.0	6.0	14.3333333333
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae	Xanthomonadaceae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae	Rhodanobacteraceae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Solimonadaceae	Solimonadaceae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.5	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Salinisphaeraceae	Salinisphaeraceae	None	None	1.0	None	None	None	None	None	1.0	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	3.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Algiphilaceae	Algiphilaceae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
